ID,Scheme,Source,Language,Comment,Sentiment
394,PM SVANidhi,Twitter,hinglish,"PM SVANidhi se real help nahi mili, sirf dhakke khane pade office mein.",Negative
395,Skill India,YouTube,en,The quality of Skill India implementation here is genuinely commendable.,Positive
396,Make in India,Instagram,en,Make in India sounds great on paper but ground implementation is terrible.,Negative
397,Ayushman Bharat,News App,en,Ayushman Bharat exists in our area but I do not know anyone who actually got it.,Neutral
398,Ayushman Bharat,YouTube,en,The Ayushman Bharat scheme has genuinely transformed living conditions in rural India.,Positive
399,Jal Jeevan Mission,Instagram,en,"Applied for Jal Jeevan Mission two years ago, still waiting, corruption at every step.",Negative
400,Startup India,Public Forum,hinglish,"Startup India ka paisa neta log kha jaate hain, public ko kuch nahi.",Negative
401,e-NAM,News App,hi,e-NAM के बारे में अभी पूरा आंकलन करना जल्दबाजी होगी।,Neutral
402,FAME,YouTube,en,"Applied for FAME two years ago, still waiting, corruption at every step.",Negative
403,Bharatmala,YouTube,en,The benefits of Bharatmala arrived quickly and without any major hassle.,Positive
404,PM SVANidhi,Twitter,en,Only politically connected people actually receive PM SVANidhi benefits.,Negative
405,Make in India,Instagram,en,"Rural areas are completely ignored under Make in India, only cities benefit.",Negative
406,PMAY,Twitter,en,Mixed feedback about PMAY from different people in our locality.,Neutral
407,PMGSY,Twitter,en,Thoda aur time lagega PMGSY ka full impact samajhne mein.,Neutral
408,UPI,Public Forum,en,"Applied for UPI two years ago, still waiting, corruption at every step.",Negative
409,Beti Bachao Beti Padhao,News App,en,"My family directly benefited from Beti Bachao Beti Padhao, it made a real difference for us.",Positive
410,PM Matru Vandana,YouTube,hi,PM Matru Vandana से गरीब परिवारों को सच में राहत मिली है।,Positive
411,Skill India,Twitter,en,Skill India is partially helpful in some areas but completely absent in others.,Neutral
412,PM Jeevan Jyoti Bima,Instagram,en,We applied for PM Jeevan Jyoti Bima and received benefits within three months.,Positive
413,PM Matru Vandana,Instagram,en,I have no direct experience with PM Matru Vandana yet so cannot comment properly.,Neutral
414,Ayushman Bharat,Public Forum,hi,Ayushman Bharat सिर्फ नेताओं के करीबी लोगों को मिलती है।,Negative
415,BharatNet,YouTube,en,The BharatNet numbers look good on paper but ground situation is complex.,Neutral
416,Bharatmala,News App,hi,Bharatmala के फायदे तीन महीने में ही मिलने शुरू हो गए।,Positive
417,Mudra Yojana,News App,hi,Mudra Yojana से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
418,Ayushman Bharat Digital Mission,Public Forum,en,The Ayushman Bharat Digital Mission scheme has genuinely transformed living conditions in rural India.,Positive
419,Vishwakarma Yojana,Public Forum,en,Vishwakarma Yojana benefit was given to the wrong family due to data errors.,Negative
420,Swachh Bharat,News App,en,"Oh sure, Swachh Bharat DEFINITELY kaam karta hai. Sirf humara luck kharab hai! 🙄",Sarcasm
421,Poshan Abhiyaan,News App,hi,Poshan Abhiyaan योजना की वजह से परिवार की आर्थिक स्थिति बेहतर हुई।,Positive
422,Vishwakarma Yojana,YouTube,hinglish,"Vishwakarma Yojana ka paisa neta log kha jaate hain, public ko kuch nahi.",Negative
423,PM Matru Vandana,Instagram,hinglish,"PM Matru Vandana ka kaam acha hua hamare area mein, log khush hain.",Positive
424,Bharatmala,Instagram,hinglish,"Teen saal ho gaye Bharatmala ke liye apply kiya, kuch nahi mila.",Negative
425,Jal Jeevan Mission,YouTube,en,Registration for Jal Jeevan Mission requires documents that poor families cannot access.,Negative
426,Fasal Bima,YouTube,en,"Yaar Fasal Bima se humein real benefit mila, highly recommend karunga.",Positive
427,Mudra Yojana,News App,en,Government should publish transparent data on actual Mudra Yojana impact.,Neutral
428,Smart Cities,Instagram,en,"Garib insaan Smart Cities ki itni paperwork kahan se laayega, practical nahi.",Negative
429,Smart Cities,YouTube,en,Smart Cities is partially helpful in some areas but completely absent in others.,Neutral
430,Sukanya Samriddhi,Twitter,hi,"Sukanya Samriddhi में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
431,Poshan Abhiyaan,YouTube,hi,"Poshan Abhiyaan का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
432,PM Garib Kalyan,Twitter,en,"The quality under PM Garib Kalyan was terrible, completely unusable.",Negative
433,AMRUT,News App,hinglish,"AMRUT ka kaam acha hua hamare area mein, log khush hain.",Positive
434,Solar Rooftop,Public Forum,en,Three years of waiting and still no benefit received under Solar Rooftop.,Negative
435,Sagarmala,Twitter,hi,Sagarmala की नीति अच्छी है लेकिन अमल उतना अच्छा नहीं।,Neutral
436,UPI,Twitter,en,Intentions theek lagte hain UPI mein par ground reality alag hai.,Neutral
437,PM Matru Vandana,Instagram,en,Government should publish transparent data on actual PM Matru Vandana impact.,Neutral
438,Sukanya Samriddhi,Instagram,en,Heard about Sukanya Samriddhi but have not applied for it yet personally.,Neutral
439,Ayushman Bharat Digital Mission,Twitter,hi,"Ayushman Bharat Digital Mission के बारे में सुना है, अभी तक आवेदन नहीं किया।",Neutral
440,Ujjwala Yojana,Public Forum,en,"My family directly benefited from Ujjwala Yojana, it made a real difference for us.",Positive
441,PM Matru Vandana,News App,en,"My family directly benefited from PM Matru Vandana, it made a real difference for us.",Positive
442,Ayushman Bharat,Twitter,en,"Oh great, another Ayushman Bharat welfare announcement right before poll season. Never seen this! 🙄",Sarcasm
443,Kisan Credit Card,YouTube,en,I have no direct experience with Kisan Credit Card yet so cannot comment properly.,Neutral
444,Solar Rooftop,Instagram,en,Thoda aur time lagega Solar Rooftop ka full impact samajhne mein.,Neutral
445,PMAY,Twitter,en,"Yaar PMAY se humein real benefit mila, highly recommend karunga.",Positive
446,PMGSY,News App,en,"After PMGSY, my family's financial situation has clearly improved.",Positive
447,Jal Jeevan Mission,YouTube,en,My neighbor's life changed after enrolling in Jal Jeevan Mission last year.,Positive
448,PM eVIDYA,Instagram,en,PM eVIDYA benefit was given to the wrong family due to data errors.,Negative
449,Skill India,YouTube,en,Only politically connected people actually receive Skill India benefits.,Negative
450,PM Jeevan Jyoti Bima,Instagram,hi,"PM Jeevan Jyoti Bima का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
451,Saubhagya,Twitter,hi,"Saubhagya से हमें कोई फायदा नहीं हुआ, सिर्फ चक्कर लगाने पड़े।",Negative
452,Atmanirbhar Bharat,YouTube,en,Wow they announced Atmanirbhar Bharat. Too bad nobody told the officials to implement it.,Sarcasm
453,Jal Jeevan Mission,YouTube,en,"The quality under Jal Jeevan Mission was terrible, completely unusable.",Negative
454,Ayushman Bharat,Twitter,en,The Ayushman Bharat policy is well designed but execution varies greatly by district.,Neutral
455,PMAY,News App,en,"Applied for PMAY two years ago, still waiting, corruption at every step.",Negative
456,Beti Bachao Beti Padhao,News App,en,"Beti Bachao Beti Padhao ne sach mein farak padaya, family bahut khush hai.",Positive
457,PM Garib Kalyan,YouTube,en,The quality of PM Garib Kalyan implementation here is genuinely commendable.,Positive
458,FAME,Twitter,en,FAME benefit was rejected without any proper explanation given to us.,Negative
459,Atmanirbhar Bharat,Twitter,en,Atmanirbhar Bharat ke baare mein alag alag log alag alag bol rahe hain.,Neutral
460,Jan Dhan Yojana,YouTube,en,"Jan Dhan Yojana reached the poorest families in our district, excellent work.",Positive
461,AMRUT,Public Forum,en,Both positive and negative experiences reported under AMRUT by different people.,Neutral
462,PMGSY,Twitter,hi,PMGSY से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
463,BharatNet,YouTube,hi,"BharatNet का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
464,Saubhagya,News App,en,People in my block are actually happy with how Saubhagya was executed.,Positive
465,Jal Jeevan Mission,YouTube,en,After Jal Jeevan Mission was launched our situation is exactly the same as before.,Negative
466,Kisan Credit Card,Twitter,en,"Kisan Credit Card reached the poorest families in our district, excellent work.",Positive
467,PMAY,News App,en,"Too early to judge PMAY, let us wait and see the actual outcomes.",Neutral
468,Sagarmala,YouTube,en,"Oh brilliant, Sagarmala launched right before elections. What a coincidence! 🙄",Sarcasm
469,Poshan Abhiyaan,Public Forum,en,The Poshan Abhiyaan scheme has genuinely transformed living conditions in rural India.,Positive
470,Stand Up India,News App,en,The implementation of Stand Up India in our village was smooth and effective.,Positive
471,PM Suraksha Bima,Twitter,en,"PM Suraksha Bima was launched before elections, nothing changed after voting.",Negative
472,Jal Jeevan Mission,YouTube,en,Jal Jeevan Mission has improved daily life for thousands of families in my area.,Positive
473,Kisan Credit Card,News App,en,Kisan Credit Card benefit was given to the wrong family due to data errors.,Negative
474,e-NAM,News App,en,Sure e-NAM is a huge success. That is why all my neighbours gave up on it. 😒,Sarcasm
475,Atal Pension Yojana,News App,en,The enrollment process for Atal Pension Yojana was simple and staff were helpful.,Positive
476,Fasal Bima,YouTube,en,Mixed feedback about Fasal Bima from different people in our locality.,Neutral
477,Ayushman Bharat Digital Mission,YouTube,hi,"Ayushman Bharat Digital Mission का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
478,PM Garib Kalyan,YouTube,en,Thanks to PM Garib Kalyan my family now has access to something we never had before.,Positive
479,FAME,Twitter,hi,FAME के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
480,PM eVIDYA,YouTube,en,I was skeptical about PM eVIDYA but it genuinely helped my family this year.,Positive
481,e-NAM,Instagram,en,e-NAM se gareeb logo ki life mein real change aaya hai.,Positive
482,Kisan Credit Card,Twitter,hinglish,"Sure sure, Kisan Credit Card ka paisa zaroor sahi jagah pahuncha. Politicians ko kya pata! 🙄",Sarcasm
483,Smart Cities,Twitter,hi,"वाह क्या बात है! Smart Cities के लिए तीन साल से इंतज़ार, अभी तक कुछ नहीं। कमाल! 🙄",Sarcasm
484,Solar Rooftop,Twitter,hi,"हाँ हाँ, Solar Rooftop सब ठीक है। एकदम परफेक्ट काम हो रहा है! 😒",Sarcasm
485,Jan Dhan Yojana,Instagram,hi,"Jan Dhan Yojana का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
486,One Nation One Ration Card,YouTube,en,People in my block are actually happy with how One Nation One Ration Card was executed.,Positive
487,Kisan Credit Card,News App,en,"My family directly benefited from Kisan Credit Card, it made a real difference for us.",Positive
488,PM Jeevan Jyoti Bima,YouTube,en,PM Jeevan Jyoti Bima has some good aspects but significant improvements are still needed.,Neutral
489,e-NAM,Twitter,hi,e-NAM के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
490,One Nation One Ration Card,News App,en,The One Nation One Ration Card policy is well designed but execution varies greatly by district.,Neutral
491,Solar Rooftop,Instagram,en,Solar Rooftop benefit was given to the wrong family due to data errors.,Negative
492,Beti Bachao Beti Padhao,Twitter,hinglish,"Teen saal ho gaye Beti Bachao Beti Padhao ke liye apply kiya, kuch nahi mila.",Negative
493,Kisan Credit Card,Instagram,hi,Kisan Credit Card सिर्फ नेताओं के करीबी लोगों को मिलती है।,Negative
494,Mudra Yojana,Instagram,en,Mudra Yojana has improved daily life for thousands of families in my area.,Positive
495,UPI,Instagram,en,UPI has some good aspects but significant improvements are still needed.,Neutral
496,Sagarmala,Public Forum,en,Three years of waiting and still no benefit received under Sagarmala.,Negative
497,Vishwakarma Yojana,Instagram,hi,Vishwakarma Yojana के फायदे तीन महीने में ही मिलने शुरू हो गए।,Positive
498,One Nation One Ration Card,YouTube,en,"Three offices visited, no one could explain how to access One Nation One Ration Card.",Negative
499,Smart Cities,Public Forum,en,Both positive and negative experiences reported under Smart Cities by different people.,Neutral
500,Startup India,News App,hi,"Startup India का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
501,Digital India,Public Forum,en,"Amazing Digital India policy, truly. Works so well that nobody in my area has heard of it. 🙄",Sarcasm
502,UPI,Public Forum,hi,UPI के फायदे तीन महीने में ही मिलने शुरू हो गए।,Positive
503,PM Jeevan Jyoti Bima,Twitter,hinglish,PM Jeevan Jyoti Bima sirf election ke time ka dikhawa hai bhai.,Negative
504,UPI,YouTube,en,We applied for UPI and received benefits within three months.,Positive
505,Saubhagya,Twitter,en,Saubhagya made a difference that we can see and feel every single day.,Positive
506,AMRUT,Twitter,en,"AMRUT portal crash karta rehta hai, registration ho hi nahi pati.",Negative
507,Startup India,Instagram,en,"Startup India ke baare mein suna hai, apply nahi kiya abhi tak.",Neutral
508,PM Kisan,YouTube,hinglish,"PM Kisan ka kuch jagah acha kaam hua hai, kuch jagah nahi hua.",Neutral
509,Fasal Bima,Twitter,en,The implementation of Fasal Bima in our village was smooth and effective.,Positive
510,Bharatmala,Twitter,en,The enrollment process for Bharatmala was simple and staff were helpful.,Positive
511,Vishwakarma Yojana,YouTube,hi,Vishwakarma Yojana से गरीब परिवारों को सच में राहत मिली है।,Positive
512,Kisan Credit Card,News App,en,Some families benefited from Kisan Credit Card while others faced documentation issues.,Neutral
513,Vishwakarma Yojana,Twitter,en,"Vishwakarma Yojana reached the poorest families in our district, excellent work.",Positive
514,PM Jeevan Jyoti Bima,Public Forum,en,My neighbor's life changed after enrolling in PM Jeevan Jyoti Bima last year.,Positive
515,PM Kisan,Twitter,en,Great job on PM Kisan! Three years later and still nothing changed. Amazing! 🙄,Sarcasm
516,Bharatmala,Twitter,hinglish,"Bharatmala ka kuch jagah acha kaam hua hai, kuch jagah nahi hua.",Neutral
517,Beti Bachao Beti Padhao,YouTube,hi,Beti Bachao Beti Padhao योजना से हमारे गाँव की जिंदगी बदल गई।,Positive
518,Make in India,Instagram,en,My application for Make in India was rejected on a minor technicality.,Negative
519,Solar Rooftop,YouTube,en,Solar Rooftop made a difference that we can see and feel every single day.,Positive
520,Poshan Abhiyaan,News App,en,The intentions behind Poshan Abhiyaan seem good but delivery is unclear.,Neutral
521,Smart Cities,YouTube,en,Heard about Smart Cities but have not applied for it yet personally.,Neutral
522,Atal Pension Yojana,Instagram,en,The benefits of Atal Pension Yojana arrived quickly and without any major hassle.,Positive
523,PMGSY,News App,en,The officials handling PMGSY demand bribes before processing anything.,Negative
524,Sukanya Samriddhi,Twitter,en,The officials handling Sukanya Samriddhi demand bribes before processing anything.,Negative
525,Mudra Yojana,YouTube,en,"Real impact on the ground from Mudra Yojana, not just announcements.",Positive
526,UPI,Instagram,en,UPI is one of the few government schemes that actually delivers on its promise.,Positive
527,PM eVIDYA,News App,hi,PM eVIDYA की नीति अच्छी है लेकिन अमल उतना अच्छा नहीं।,Neutral
528,Atmanirbhar Bharat,Twitter,en,Registration for Atmanirbhar Bharat requires documents that poor families cannot access.,Negative
529,Poshan Abhiyaan,Instagram,hi,"Poshan Abhiyaan से हमें कोई फायदा नहीं हुआ, सिर्फ चक्कर लगाने पड़े।",Negative
530,Beti Bachao Beti Padhao,Twitter,en,Our whole community saw positive change after Beti Bachao Beti Padhao was implemented here.,Positive
531,PM Matru Vandana,Instagram,en,"The quality under PM Matru Vandana was terrible, completely unusable.",Negative
532,Solar Rooftop,YouTube,hi,"Solar Rooftop सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
533,Jan Dhan Yojana,Instagram,en,Jan Dhan Yojana exists in our area but I do not know anyone who actually got it.,Neutral
534,Ayushman Bharat Digital Mission,News App,en,"Ayushman Bharat Digital Mission has helped people with connections, not ordinary citizens.",Negative
535,Make in India,YouTube,hinglish,"Make in India se real help nahi mili, sirf dhakke khane pade office mein.",Negative
536,PMAY,YouTube,en,The enrollment process for PMAY was simple and staff were helpful.,Positive
537,PMGSY,Twitter,hinglish,PMGSY enrollment easy tha aur time pe benefit mila.,Positive
538,Fasal Bima,Instagram,en,"The Fasal Bima portal keeps crashing, impossible to complete registration.",Negative
539,PMGSY,Public Forum,hi,"PMGSY में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
540,PM Suraksha Bima,News App,en,"Oh wow, PM Suraksha Bima will DEFINITELY reach everyone this time! 🙄",Sarcasm
541,BharatNet,Twitter,hi,"BharatNet के बारे में सुना है, अभी तक आवेदन नहीं किया।",Neutral
542,PM Jeevan Jyoti Bima,Instagram,en,Of course PM Jeevan Jyoti Bima portal works perfectly at 3am when nobody is applying. 😒,Sarcasm
543,Ujjwala Yojana,YouTube,hinglish,"Ujjwala Yojana ka kaam acha hua hamare area mein, log khush hain.",Positive
544,Saubhagya,Instagram,hi,"Saubhagya सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
545,Saubhagya,Instagram,en,"Garib insaan Saubhagya ki itni paperwork kahan se laayega, practical nahi.",Negative
546,Digital India,News App,hi,"Digital India सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
547,Atmanirbhar Bharat,Twitter,en,"Atmanirbhar Bharat was launched before elections, nothing changed after voting.",Negative
548,Make in India,News App,en,People in my block are actually happy with how Make in India was executed.,Positive
549,Smart Cities,News App,en,"Launched recently, still too early to fully judge Smart Cities effectiveness.",Neutral
550,Ayushman Bharat Digital Mission,Instagram,en,"Yes yes, I am sure Ayushman Bharat Digital Mission money reached the right people and not politicians.",Sarcasm
551,Ayushman Bharat Digital Mission,Instagram,en,"Yaar Ayushman Bharat Digital Mission se humein real benefit mila, highly recommend karunga.",Positive
552,PM Kisan,News App,hinglish,"PM Kisan se real help nahi mili, sirf dhakke khane pade office mein.",Negative
553,PM Matru Vandana,Twitter,en,"PM Matru Vandana reached the poorest families in our district, excellent work.",Positive
554,Jan Dhan Yojana,Public Forum,en,Need more time to assess the real long-term impact of Jan Dhan Yojana.,Neutral
555,Ayushman Bharat Digital Mission,YouTube,en,I was skeptical about Ayushman Bharat Digital Mission but it genuinely helped my family this year.,Positive
556,FAME,Twitter,en,"Oh absolutely, FAME made the poor SO much better off. Big smiles all around! 🙄",Sarcasm
557,Sagarmala,YouTube,en,"Mujhe Sagarmala se genuine help mili is saal, thankful hun.",Positive
558,Make in India,Twitter,en,"Real impact on the ground from Make in India, not just announcements.",Positive
559,Saubhagya,YouTube,en,"Too early to judge Saubhagya, let us wait and see the actual outcomes.",Neutral
560,PMAY,Twitter,hi,PMAY से गरीब परिवारों को सच में राहत मिली है।,Positive
561,PM SVANidhi,Instagram,hi,"PM SVANidhi में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
562,Sukanya Samriddhi,Twitter,en,My neighbor's life changed after enrolling in Sukanya Samriddhi last year.,Positive
563,PMAY,Twitter,en,Of course PMAY portal works perfectly at 3am when nobody is applying. 😒,Sarcasm
564,Saubhagya,Instagram,en,"Not sure how to access Saubhagya benefits, lack of awareness is the issue.",Neutral
565,Swachh Bharat,News App,en,"Some districts did well with Swachh Bharat, others not at all unfortunately.",Neutral
566,One Nation One Ration Card,Twitter,en,"One Nation One Ration Card is just a slogan, roads and ground reality remain the same.",Negative
567,Atal Pension Yojana,Instagram,en,The intentions behind Atal Pension Yojana seem good but delivery is unclear.,Neutral
568,PMGSY,Instagram,en,The PMGSY scheme has genuinely transformed living conditions in rural India.,Positive
569,PMGSY,YouTube,hi,"PMGSY का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
570,UPI,News App,hi,"UPI में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
571,e-NAM,Twitter,hi,"दो साल से e-NAM के लिए आवेदन किया, अभी तक कोई जवाब नहीं।",Negative
572,Jan Dhan Yojana,News App,en,"Jan Dhan Yojana has helped people with connections, not ordinary citizens.",Negative
573,Poshan Abhiyaan,Instagram,hi,"गाँव में Poshan Abhiyaan का कोई असर नहीं दिखा, सब झूठ है।",Negative
574,PM Suraksha Bima,Instagram,hi,"PM Suraksha Bima का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
575,PM Kisan,YouTube,en,"Applied for PM Kisan two years ago, still waiting, corruption at every step.",Negative
576,Jal Jeevan Mission,Twitter,en,"Launched recently, still too early to fully judge Jal Jeevan Mission effectiveness.",Neutral
577,Ayushman Bharat Digital Mission,YouTube,hinglish,"Ayushman Bharat Digital Mission se real help nahi mili, sirf dhakke khane pade office mein.",Negative
578,Saubhagya,Twitter,en,Hamara Saubhagya application reject ho gaya bina kisi reason ke.,Negative
579,Digital India,Public Forum,hi,"Digital India में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
580,UPI,YouTube,en,"Yaar UPI se humein real benefit mila, highly recommend karunga.",Positive
581,PM eVIDYA,YouTube,en,Intentions theek lagte hain PM eVIDYA mein par ground reality alag hai.,Neutral
582,Skill India,YouTube,en,"Wah kya Skill India hai! Teen saal pehle apply kiya, abhi bhi wait kar rahe hain.",Sarcasm
583,Skill India,Public Forum,en,"Bilkul sahi hai, Skill India ne reject kar diya. Itni great scheme ke liye normal hai! 🙄",Sarcasm
584,Poshan Abhiyaan,Instagram,hi,"Poshan Abhiyaan सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
585,Sukanya Samriddhi,YouTube,en,Three years of waiting and still no benefit received under Sukanya Samriddhi.,Negative
586,Make in India,Twitter,en,The Make in India numbers look good on paper but ground situation is complex.,Neutral
587,e-NAM,Twitter,en,The e-NAM initiative is working well in our panchayat area.,Positive
588,BharatNet,YouTube,en,Both positive and negative experiences reported under BharatNet by different people.,Neutral
589,PM Matru Vandana,Twitter,hi,"PM Matru Vandana का पैसा बिचौलिए खा जाते हैं, असली गरीब को कुछ नहीं मिलता।",Negative
590,Fasal Bima,Instagram,en,"Garib insaan Fasal Bima ki itni paperwork kahan se laayega, practical nahi.",Negative
591,FAME,Instagram,hi,"FAME सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
592,Stand Up India,Twitter,en,Wow they announced Stand Up India. Too bad nobody told the officials to implement it.,Sarcasm
593,Stand Up India,Twitter,en,The intentions behind Stand Up India seem good but delivery is unclear.,Neutral
594,Jal Jeevan Mission,YouTube,en,Jal Jeevan Mission is partially helpful in some areas but completely absent in others.,Neutral
595,Digital India,News App,hi,पता नहीं Digital India हमारे गाँव में कब आएगी।,Neutral
596,PM Garib Kalyan,Instagram,en,My neighbor's life changed after enrolling in PM Garib Kalyan last year.,Positive
597,PM SVANidhi,News App,hi,PM SVANidhi से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
598,Stand Up India,Instagram,en,"The Stand Up India money never reached us, middlemen swallowed everything.",Negative
599,Mudra Yojana,News App,en,"Amazing Mudra Yojana policy, truly. Works so well that nobody in my area has heard of it. 🙄",Sarcasm
600,Beti Bachao Beti Padhao,Twitter,en,Beti Bachao Beti Padhao is one of the few government schemes that actually delivers on its promise.,Positive
601,PMGSY,Twitter,en,My neighbor's life changed after enrolling in PMGSY last year.,Positive
602,PM SVANidhi,Twitter,hi,"PM SVANidhi के मिश्रित नतीजे हैं, जगह-जगह अलग अनुभव है।",Neutral
603,Kisan Credit Card,Instagram,hi,Kisan Credit Card ठीक है लेकिन अभी और सुधार की जरूरत है।,Neutral
604,One Nation One Ration Card,YouTube,en,Of course One Nation One Ration Card portal works perfectly at 3am when nobody is applying. 😒,Sarcasm
605,FAME,Twitter,hi,"FAME का पोर्टल काम नहीं करता, रजिस्ट्रेशन हो ही नहीं पाई।",Negative
606,PM Suraksha Bima,YouTube,hinglish,PM Suraksha Bima sirf election ke time ka dikhawa hai bhai.,Negative
607,Sagarmala,YouTube,en,The officials handling Sagarmala demand bribes before processing anything.,Negative
608,BharatNet,Twitter,hinglish,"BharatNet sirf bade shahar walon ko milti hai, gaon walon ko kuch nahi.",Negative
609,PMAY,Instagram,en,Three years of waiting and still no benefit received under PMAY.,Negative
610,Solar Rooftop,Public Forum,en,After Solar Rooftop was launched our situation is exactly the same as before.,Negative
611,Skill India,YouTube,en,Documents required for Skill India are impossible for illiterate people to arrange.,Negative
612,Ayushman Bharat Digital Mission,Public Forum,en,Some families benefited from Ayushman Bharat Digital Mission while others faced documentation issues.,Neutral
613,Atmanirbhar Bharat,Twitter,en,"Too early to judge Atmanirbhar Bharat, let us wait and see the actual outcomes.",Neutral
614,Smart Cities,News App,hi,"गाँव में Smart Cities का कोई असर नहीं दिखा, सब झूठ है।",Negative
615,Atal Pension Yojana,News App,en,Atal Pension Yojana is partially helpful in some areas but completely absent in others.,Neutral
616,PM Jeevan Jyoti Bima,Public Forum,en,Mixed feedback about PM Jeevan Jyoti Bima from different people in our locality.,Neutral
617,Bharatmala,YouTube,en,Bharatmala is one of the few government schemes that actually delivers on its promise.,Positive
618,Ujjwala Yojana,Public Forum,hi,"Ujjwala Yojana सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
619,Mudra Yojana,Twitter,en,"My family directly benefited from Mudra Yojana, it made a real difference for us.",Positive
620,PM Kisan,News App,en,PM Kisan made a difference that we can see and feel every single day.,Positive
621,PM Kisan,News App,en,"Mujhe PM Kisan se genuine help mili is saal, thankful hun.",Positive
622,Stand Up India,YouTube,en,Stand Up India ke baare mein alag alag log alag alag bol rahe hain.,Neutral
623,Jan Dhan Yojana,YouTube,en,"Not sure how to access Jan Dhan Yojana benefits, lack of awareness is the issue.",Neutral
624,Ayushman Bharat Digital Mission,YouTube,en,Thoda aur time lagega Ayushman Bharat Digital Mission ka full impact samajhne mein.,Neutral
625,PM Suraksha Bima,YouTube,en,"Oh great, another PM Suraksha Bima welfare announcement right before poll season. Never seen this! 🙄",Sarcasm
626,PM Kisan,YouTube,en,"After PM Kisan, my family's financial situation has clearly improved.",Positive
627,Atmanirbhar Bharat,Instagram,hi,हमारे ब्लॉक में Atmanirbhar Bharat का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
628,PM Suraksha Bima,Instagram,hinglish,"PM Suraksha Bima ka kuch jagah acha kaam hua hai, kuch jagah nahi hua.",Neutral
629,PM Suraksha Bima,YouTube,en,"PM Suraksha Bima has helped people with connections, not ordinary citizens.",Negative
630,Startup India,Twitter,en,Sure Startup India is a huge success. That is why all my neighbours gave up on it. 😒,Sarcasm
631,Bharatmala,YouTube,en,"Not sure how to access Bharatmala benefits, lack of awareness is the issue.",Neutral
632,Ayushman Bharat Digital Mission,News App,hi,Ayushman Bharat Digital Mission के फायदे तीन महीने में ही मिलने शुरू हो गए।,Positive
633,e-NAM,News App,hi,पता नहीं e-NAM हमारे गाँव में कब आएगी।,Neutral
634,Atmanirbhar Bharat,News App,en,"After Atmanirbhar Bharat, my family's financial situation has clearly improved.",Positive
635,PM Kisan,News App,hi,हमारे ब्लॉक में PM Kisan का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
636,Beti Bachao Beti Padhao,Public Forum,hinglish,"Haan haan, Beti Bachao Beti Padhao toh bahut achhi hai. Bus kaam nahi karti kuch! 😒",Sarcasm
637,Atal Pension Yojana,Instagram,en,Three years of waiting and still no benefit received under Atal Pension Yojana.,Negative
638,Ayushman Bharat Digital Mission,YouTube,en,Ayushman Bharat Digital Mission se gareeb logo ki life mein real change aaya hai.,Positive
639,e-NAM,Twitter,en,e-NAM addresses some important needs but ignores equally critical issues.,Neutral
640,Digital India,News App,en,Three years of waiting and still no benefit received under Digital India.,Negative
641,Solar Rooftop,News App,en,Mixed feedback about Solar Rooftop from different people in our locality.,Neutral
642,PM Matru Vandana,Instagram,hi,PM Matru Vandana के बारे में अभी पूरा आंकलन करना जल्दबाजी होगी।,Neutral
643,Jal Jeevan Mission,Instagram,hi,"Jal Jeevan Mission सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
644,AMRUT,Twitter,en,Documents required for AMRUT are impossible for illiterate people to arrange.,Negative
645,Make in India,News App,en,Documents required for Make in India are impossible for illiterate people to arrange.,Negative
646,UPI,Public Forum,en,Three years of waiting and still no benefit received under UPI.,Negative
647,Ujjwala Yojana,YouTube,en,Ujjwala Yojana made a difference that we can see and feel every single day.,Positive
